Date,Open,High,Low,Close,Volume
1999-04-06,4365.27,4420,4328.83,4410.9,123005
1999-04-07,4374.37,4392.73,4292.39,4374.37,226151
1999-04-08,4246.87,4301.49,4210.33,4265.04,435074
1999-04-09,4374.37,4374.37,4265.04,4283.3,314372
1999-04-12,4237.77,4255.94,4201.24,4210.33,107205
1999-04-13,4164.8,4192.16,4064.56,4091.92,212545
1999-04-14,4091.92,4173.88,4055.38,4137.44,199266
1999-04-15,4101,4119.17,4073.66,4091.92,143306
1999-04-16,4119.17,4237.77,4091.92,4164.8,321395
1999-04-19,4164.8,4164.8,4101,4128.36,241952
1999-04-20,4082.82,4091.92,3982.59,4028.11,260935
1999-04-21,3991.69,4028.11,3973.4,4000.76,142757
1999-04-22,3982.59,3991.69,3918.78,3982.59,172494
1999-04-23,3982.59,3991.69,3936.97,3964.23,140453
1999-04-26,4009.85,4128.36,4009.85,4101,386027
1999-04-27,4146.64,4265.04,4137.44,4237.77,368909
1999-04-28,4265.04,4356.19,4237.77,4283.3,340597
1999-04-30,4301.49,4319.75,4237.77,4237.77,146926
1999-05-06,4328.83,4547.59,4328.83,4547.59,295060
1999-05-07,4647.92,4766.34,4647.92,4748.05,658153
1999-05-10,4666.09,4666.09,4529.3,4529.3,219896
1999-05-11,4520.24,4520.24,4456.43,4465.52,117630
1999-05-12,4465.52,4511.15,4447.35,4511.15,101938
1999-05-13,4438.25,4474.7,4410.9,4410.9,77139
1999-05-14,4410.9,4410.9,4265.04,4265.04,276956
1999-05-17,4192.16,4246.87,4082.82,4082.82,140782
1999-05-18,4110.1,4173.88,4101,4110.1,70664
1999-05-19,4137.44,4210.33,4110.1,4146.64,108741
1999-05-20,4237.77,4246.87,4164.8,4228.59,90635
1999-05-21,4228.59,4383.45,4228.59,4374.37,223077
1999-05-24,4465.52,4638.73,4465.52,4638.73,226261
1999-05-25,4556.77,4729.88,4520.24,4720.81,270481
1999-05-26,4629.55,4666.09,4511.15,4611.38,261373
1999-05-27,4502.06,4547.59,4438.25,4492.95,70664
1999-05-28,4465.52,4492.95,4392.73,4465.52,111155
1999-05-31,4529.3,4602.3,4374.37,4374.37,146048
1999-06-01,4465.52,4593.11,4438.25,4593.11,136831
1999-06-02,4593.11,4611.38,4574.95,4611.38,100513
1999-06-03,4520.24,4520.24,4328.83,4338.02,213752
1999-06-04,4347.11,4347.11,4265.04,4319.75,140344
1999-06-07,4283.3,4319.75,4274.13,4283.3,129589
1999-06-08,4274.13,4274.13,4219.43,4246.87,79773
1999-06-09,4201.24,4219.43,4173.88,4192.16,215946
1999-06-10,4183.08,4274.13,4183.08,4237.77,248646
1999-06-11,4283.3,4356.19,4283.3,4310.67,583866
1999-06-14,4301.49,4338.02,4283.3,4328.83,228455
1999-06-15,4328.83,4392.73,4319.75,4374.37,91623
1999-06-16,4392.73,4529.3,4374.37,4420,218360
1999-06-17,4511.15,4511.15,4474.7,4502.06,81859
1999-06-18,4456.43,4511.15,4438.25,4465.52,90526
1999-06-21,4483.79,4483.79,4347.11,4401.81,93050
1999-06-22,4383.45,4383.45,4328.83,4365.27,99195
1999-06-23,4319.75,4319.75,4201.24,4201.24,148353
1999-06-24,4265.04,4274.13,4146.64,4183.08,147915
1999-06-25,4137.44,4192.16,4110.1,4155.72,130467
1999-06-28,4201.24,4246.87,4164.8,4228.59,64083
1999-06-29,4283.3,4401.81,4283.3,4374.37,201682
1999-06-30,4292.39,4301.49,4228.59,4246.87,257753
1999-07-01,4292.39,4310.67,4228.59,4228.59,257972
1999-07-02,4274.13,4347.11,4219.43,4219.43,147146
1999-07-05,4219.43,4246.87,4146.64,4164.8,157352
1999-07-06,4183.08,4246.87,4173.88,4183.08,93818
1999-07-07,4192.16,4192.16,4119.17,4164.8,138807
1999-07-08,4101,4101,4055.38,4073.66,138367
1999-07-09,4101,4155.72,4064.56,4064.56,311299
1999-07-12,4101,4119.17,4073.66,4082.82,150548
1999-07-13,4101,4110.1,4064.56,4082.82,114887
1999-07-14,4128.36,4310.67,4110.1,4310.67,293853
1999-07-15,4301.49,4310.67,4155.72,4183.08,186099
1999-07-16,4164.8,4219.43,4128.36,4192.16,104901
1999-07-19,4219.43,4237.77,4101,4146.64,106327
1999-07-21,4101,4146.64,4064.56,4119.17,185661
1999-07-22,4101,4110.1,3836.73,3873.17,188075
1999-07-23,3863.98,3927.88,3836.73,3836.73,199926
1999-07-26,3809.27,3818.55,3745.58,3745.58,141988
1999-07-27,3736.49,3772.92,3690.86,3718.22,269604
1999-07-28,3745.58,3800.19,3709.05,3736.49,159326
1999-07-29,3745.58,3745.58,3663.69,3672.7,134418
1999-07-30,3654.51,3690.86,3645.35,3645.35,182040
1999-08-02,3672.7,3836.73,3663.69,3736.49,118398
1999-08-03,3800.19,3918.78,3800.19,3918.78,165141
